QUESTION	INTENT
그루트 출연하는 2018 개봉작	findMovie
헐크 등장하는 최신영화	findMovie
엘리자베스 올슨 나오는 2018 개봉작	findMovie
피터파커 등장하는 2018 영화	findMovie
헐크 등장하는 최신영화	findMovie
캡틴아메리카 출연하는 영화	findMovie
스타로드 출연하는 2018 개봉작	findMovie
스타로드 등장하는 영화	findMovie
마크러팔러 등장하는 2018 개봉작	findMovie
토르 등장하는 영화	findMovie
캡틴아메리카 나오는 2018 영화	findMovie
그루트 등장하는 2018 개봉작	findMovie
아이언맨 나오는 2018 영화	findMovie
톰 히들스턴 출연하는 최신영화	findMovie
헐크 나오는 2018 개봉작	findMovie
로키 나오는 최신영화	findMovie
워머신 출연하는 영화	findMovie
크리스에반스 등장하는 2018 개봉작	findMovie
스타로드 등장하는 최신영화	findMovie
헐크 등장하는 2018 개봉작	findMovie
로키 등장하는 영화	findMovie
캡틴아메리카 출연하는 영화	findMovie
앤서니 매키 등장하는 2018 개봉작	findMovie
톰 히들스턴 나오는 2018 영화	findMovie
크리스 헴스워스 출연하는 최신영화	findMovie
로키 나오는 2018 개봉작	findMovie
앤서니 매키 출연하는 최신영화	findMovie
톰 히들스턴 나오는 2018 영화	findMovie
그루트 등장하는 2018 영화	findMovie
톰 히들스턴 출연하는 영화	findMovie
헐크 출연하는 2018 영화	findMovie
워머신 출연하는 영화	findMovie
헐크 나오는 2018 개봉작	findMovie
윈터솔져 출연하는 2018 영화	findMovie
톰 히들스턴 출연하는 최신영화	findMovie
엘리자베스 올슨 출연하는 최신영화	findMovie
톰 히들스턴 나오는 2018 개봉작	findMovie
라라랜드 주인공 알려줘	findMovie
라라랜드 남자 주인공 알려줘	findMovie
라라랜드 여자 주인공 알려줘	findMovie
라라랜드 감독 이름 알려줘	findMovie
라라랜드 남자 주인공 이름 알려줘	findMovie
라라랜드 여자 주인공 이름 알려줘	findMovie
라이언 고슬링 나오는 영화 알려줘	findMovie
라이언 고슬링 주연인 영화 알려줘	findMovie
라이언 고슬링 영화 알려줘	findMovie
엠마 스톤 나오는 영화 알려줘	findMovie
엠마 스톤 등장하는 영화 알려줘	findMovie
세바스찬 나오는 영화 알려줘	findMovie
미아 나오는 영화 알려줘	findMovie
세바스찬 와일더 나오는 영화 알려줘	findMovie
미아 돌런 나오는 영화 알려줘	findMovie
데이미언 셔젤 영화 알려줘	findMovie
위플래시 감독 영화 알려줘	findMovie
J.K.시몬스 나오는 영화 알려줘	findMovie
저스틴 허위츠가 작곡가인 영화 알려줘	findMovie
라라랜드 OST 작곡가 이름 알려줘	findPerson
라라랜드 개봉일 알려줘	getOpenDate
라라랜드 개봉년도 알려줘	getOpenDate
뮤지컬 영화 알려줘	findMovie
멜로 영화 알려줘	findMovie
로맨스 영화 알려줘	findMovie
재즈 영화 알려줘	findMovie
사랑 영화 알려줘	findMovie
음악 영화 알려줘	findMovie
뮤직 로맨스 영화 알려줘	findMovie
드라마 영화 알려줘	findMovie
국내 12세 영화 알려줘	findMovie
PG-13 영화 알려줘	findMovie
재개봉한 영화 알려줘	findMovie
2016년 개봉 영화 알려줘	findMovie
2017년 재개봉 영화 알려줘	findMovie
2016년 개봉한 외국 영화 알려줘	findMovie
외국 뮤지컬 영화 알려줘	findMovie
외국 로맨스 영화 알려줘	findMovie
외국 재즈 영화 알려줘	findMovie
외국 사랑 영화 알려줘	findMovie
외국 음악 영화 알려줘	findMovie
외국 뮤직 로맨스 영화 알려줘	findMovie
아름다운 영화 알려줘	recommend
감동적인 영화 알려줘	recommend
인생 영화 알려줘	recommend
꿈꾸고 싶게하는 영화 알려줘	recommend
주인공들이 꿈을 꾸는 영화 알려줘	findMovie
꿈을 이루는 영화 알려줘	findMovie
영상미 좋은 영화 알려줘	recommend
환상적인 영화 알려줘	recommend
어른들을 위한 동화같은 영화 알려줘	recommend
연인들이 볼만한 영화 알려줘	recommend
첫 사랑이 생각나는 영화 알려줘	recommend
음악이 좋은 영화 알려줘	recommend
엔딩이 좋은 영화 알려줘	recommend
결말이 좋은 영화 알려줘	recommend
결말이 좋은 영화 알려줘	recommend
여운이 남는 영화 알려줘	recommend
감수성이 충만해지는 영화 알려줘	recommend
낭만적인 영화 알려줘	recommend
눈물 나는 영화 알려줘	recommend
울게 하는 영화 알려줘	recommend
아름다운 음악 영화 알려줘	recommend
명작 영화 알려줘	recommend
탄성 나오는 영화 알려줘	recommend
아련한 영화 알려줘	recommend
춤과 노래가 나오는 영화 알려줘	findMovie
황홀한 영화 알려줘	recommend
결말이 슬픈 영화 알려줘	recommend
오디션 보는 영화 알려줘	recommend
OST가 좋은 영화 알려줘	recommend
밴드가 나오는 영화 알려줘	findMovie
결말이 반전인 영화 알려줘	recommend
가슴 아픈 영화 알려줘	recommend
새드 엔딩인 영화 알려줘	recommend
결말이 별로인 영화 알려줘	recommend
피아노 영화 알려줘	findMovie
따뜻한 영화 알려줘	recommend
연출이 좋은 영화 알려줘	recommend
LA가 나오는 영화 알려줘	findMovie
로스엔제렐스가 나오는 영화	findMovie
매력적인 영화 알려줘	recommend
눈과 귀가 즐거운 영화 알려줘	recommend
크리스마스때 보기 좋은 영화 알려줘	recommend
기념일에 보기 좋은 영화 알려줘	recommend
달콤한 영화 알려줘	recommend
탭댄스 추는 영화 알려줘	findMovie
결말이 현실적인 영화 알려줘	recommend
현실적인 영화 알려줘	recommend
오프닝이 멋진 영화 알려줘	recommend
커플이 헤어지는 영화 알려줘	findMovie
커플이 깨지는 영화 알려줘	findMovie
짝사랑을 생각나게 하는 영화 알려줘	recommend
옛날 남자친구 생각나게 하는 영화 알려줘	recommend
옛날 여자친구 생각나게 하는 영화 알려줘	recommend
색감이 예쁜 영화 알려줘	recommend
색채가 예쁜 영화 알려줘	recommend
야경이 예쁜 영화 알려줘	recommend
커플이 보기 좋은 영화 알려줘	recommend
배경이 예쁜 영화 알려줘	recommend
심장이 떨리는 영화 알려줘	recommend
심장이 간질거리는 영화 알려줘	recommend
상을 받은 영화 알려줘	findMovie
골든글로브 받은 영화 알려줘	findMovie
호불호가 갈리는 영화 알려줘	recommend
상큼한 영화 알려줘	recommend
청춘 영화 알려줘	findMovie
열정이 넘치는 영화 알려줘	recommend
씁쓸한 내용이 나오는 영화 알려줘	recommend
애잔한 영화 알려줘	recommend
마음이 먹먹한 영화 알려줘	recommend
노래 부르는 영화 알려줘	findMovie
최고의 영화 알려줘	recommend
오마주를 담은 영화 알려줘	findMovie
사극 영화 뭐가 있어?	findMovie
사극 영화 뭐가 있지?	findMovie
전쟁 영화로 어떤게 있지?	findMovie
전쟁 영화로 어떤게 있어?	findMovie
고구려 시대 영화는?	findMovie
고구려 시대 영화 보여줘	findMovie
요동 지역 나오는 영화는?	findMovie
요동 지역 나오는 영화는 뭐있냐?	findMovie
조인성 나오는 영화	findMovie
조인성 나오는 영화가 뭐야?	findMovie
양만춘 장수가 나오는 영화는?	findMovie
양만춘 장수가 나오는 영화는 뭐가있어?	findMovie
대규모 전쟁신 있는 영화는 뭐가 있지?	findMovie
대규모 전쟁신 있는 영화는 뭐가 있어요?	findMovie
9월에 개봉한 영화는?	findMovie
9월에 개봉한 영화는 뭐가있지?	findMovie
올해 가을에 개봉한 영화	findMovie
2018 가을에 개봉한 영화	findMovie
500만 관객 이상인 영화는?	findMovie
500만 관객 이상인 영화	findMovie
김광식 감독 영화	findMovie
김광식 감독 영화 보여줘	findMovie
안시성 영화 감독은?	findMovie
안시성 영화 감독 누구야?	findPerson
액션영화 소개	findMovie
액션영화 보여줘	findMovie
네이버영화평점 8점 이상인 영화는?	findMovie
네이버영화평점 8점 이상인 영화?	findMovie
역사물 영화 뭐있어?	findMovie
역사물 영화 보여줘	findMovie
우리나라 장수 나오는 영화	findMovie
우리나라 장수 나오는 영화는?	findMovie
박성욱이 연기한 영화는?	findMovie
박성욱이 연기한 영화 뭐지?	findMovie
이세민이 나오는 영화	findMovie
이세민이 나오는 영화 뭐있어?	findMovie
당과 고구려 전투 관련 영화는 뭐가 있습니까?	findMovie
당과 고구려 전투 영화는?	findMovie
영화에 설현이 나오는거 다 알려줘	findMovie
영화에 설현이 주연인 영화	findMovie
지루하지 않은 영화 소개해줘.	recommend
지루하지 않은 영화 소개해.	recommend
안시성에 출연한 배우는?	findPerson
안시성에 출연한 배우 누구있어?	findPerson
감동적인 영화	recommend
감동적인 영화 보여줘	recommend
안시성에서 설현이 사랑하는 사람으로 나오는 배우는?	findPerson
안시성에서 설현이 사랑하는 사람으로 나오는 배우는 누구?	findPerson
배우 엄태구 나오는 영화	findMovie
배우 엄태구 나오는 영화 뭐지?	findMovie
배성우 나오는 영화	findMovie
배우 배성우 출연 영화	findMovie
영화 안시성에서 이세민이 마지막으로 쓰는 방법은?	findPlot
영화 안시성에서 이세민이 전쟁 패배후 고안한 방법은?	findPlot
재밌는영화	recommend
재밌는영화 보여줘	recommend
러닝타임 130분 이상 영화는 뭡니까?	findMovie
상영시간 130분 이상 영화는 뭡니까?	findMovie
12세 관람가 영화 출력	findMovie
안시성이 12세 관람가야?	isTrue
안시성에서 조인성이 한 역할은?	getCast
안시성에서 조인성은 뭐했어?	getCast
안시성에서 나오는 인물들은?	getCast
안시성에서 나오는 인물들을 알고싶다	getCast
영화 안시성 배우	findPerson
활이 나오는 영화 보고싶다	findMovie
활이 나오는 영화 보여줘	findMovie
전투씬 멋있는 영화가 뭐냐	recommend
전투씬 멋있는 영화 보여줘	recommend
전쟁씬 최고인 영화	recommend
전쟁씬 최고인 영화는?	recommend
박진감있는 영화 보여줘	recommend
박진감있는 영화 뭐있어?	recommend
교육적인 영화는?	recommend
역사를 배울 수 있는 영화?	recommend
중학생도 볼 수 있는 영화는?	findMovie
중학생 관람가 영화는?	findMovie
당나라 군대가 안시성 성문을 뚫고 들어왔는데도 전멸당한 이유는?	findPlot
안시성 내 고구려 군대 수는?	findPlot
안시성 영화에서 당나라 군사 수는?	findPlot
안시성 영화에서 당나라 군사 수는 몇 명이지?	findPlot
영화 안시성에서 주연은 누구누구지?	getCast
영화 안시성에서 조연은 누가나왔어?	getCast
공성전 영화 뭐있냐?	findMovie
공성전 하는 영화는?	findMovie
배우 남주혁이 나온 사극	findMovie
배우 남주혁이 나온 영화	findMovie
엄태구가 맡은 역할은?	getCast
배우 엄태구가 맡은 역할은?	getCast
여장수가 나오는 영화는?	findMovie
여장수가 나오는 사극은?	findMovie
흥미진진한 영화	recommend
흥미진진한 영화는?	recommend
고증을 잘 한 영화는?	recommend
역사 고증을 잘 한 영화 뭐있어?	recommend
스펙터클한 영화	recommend
스펙터클한 영화 보여줘	recommend
두번봐도 좋은 영화는?	recommend
두번보고싶은 영화는?	recommend
진짜재밌는 영화는?	recommend
3시간 이상 러닝타임이 있는 영화가 뭐가 있어?	findMovie
우주가 나오는 명작을 추천해줘	recommend
놀란이 만든 영화 중에 우주가 배경인 영화가 뭐 였지	findMovie
앤 해서웨이가 나오는 영화가 뭐가 있지	findMovie
인터스텔라 줄거리를 알려줘	getPlot
인터스텔라 포스터를 보여줘	getPoster
인터스텔라 예고편 링크좀	getTrailer
인터스텔라 예고편 링크 좀 알려줘	getTrailer
인터스텔라 예고편 보여줘	getTrailer
인터스텔라 배우는 누가 있어?	getCast
인터스텔라 줄거리를 아니?	getPlot
인터스텔라 영화라고 알아	getPlot
블랙홀이 나오는 영화가 무엇이 있을까?	findMovie
크리스토퍼 놀란이 만든 영화는 무엇이 있어?	findMovie
2001 스페이스 오디세이와 같은 느낌의 영화는 무엇이 있을까?	findSimilar
2001 스페이스 오디세와 비슷한 영화를 추천해줘	findSimilar
2001 스페이스 오디세이 같은 영화가 또 있을까?	findSimilar
시각적으로 뛰어난 영화가 무엇이 있을까	recommend
아이맥스에서 꼭 봐야할 영화가 있다면?	recommend
IMAX에서 보기 좋은 영확가 있다면?	recommend
그래비티 같은 영화가 무엇이 있을까?	findSimilar
2014년에 개봉한 영화 중에 우주가 나오는 영화가 뭐였지?	findMovie
우주가 나오는 영화 알려줘	findMovie
우주가 나오는 영화 중에 하나만 추천해줘	findMovie
가족끼리 보기 좋은 우주 관련된 영화가 뭐가 있을까?	recommend
가족끼리 볼만한 영화가 뭐가 있을까?	recommend
블랙홀이 나오는 영화가 뭐였지?	findMovie
경이로운 영화가 있다면?	recommend
인셉션 만든 감독이 만든 영화 뭐있어?	findMovie
시공간과 관련된 영화가 있다면?	findMovie
시공관과 관련된 영화 추천해줘	recommend
인터스텔라를 본 사람들이 추천하는 영화는 뭐가 있을까?	recommend
인터스텔라 개봉일자 알려줘	getOpenDate
인터스텔라 개봉일자 알아?	getOpenDate
완전 쩌는 우주 관련된 인생 영화 추천해줘	recommend
우주 관련된 인생영화 추천해줘	recommend
우주 관련된 인생 영화 추천 좀	recommend
웜홀이 나오는 영화 뭐가 있지	findMovie
웜홀과 블랙홀이 나오는 영화가 뭐가 있지	findMovie
웜홀 나오는 영화 추천 좀	recommend
웜홀 나오는 영화 알려줘	findMovie
신비스러운 영화 알려줘	recommend
시간이 금방가는 영화 알려줘	recommend
몰입감 최고인 영화 알려줘	recommend
과학과 연관 깊은 영화 알려줘	findMovie
중력 방정식이 나오는 영화가 뭐였지?	findMovie
딸과 아버지를 주제로 하는 영화 알려줘	findMovie
가족애를 다룬 영화 알려줘	findMovie
최근에 나온 우주 관련된 영화 알려줘	findMovie
최근에 나온 SF 영화 알려줘	findMovie
최근에 나온 영화 중에 재개봉한 영화 알려줘	findMovie
시간 차원이 나오는 영화가 무엇이 있을까	findMovie
물리학과 관련된 영화가 뭐 있어?	findMovie
매튜 맥커너히가 나오는 영화 알려줘	findMovie
주인공 이름이 쿠퍼인 영화가 뭐 였지	findMovie
영화에 우주와 로봇이 나오는 영화 알려줘	findMovie
맷 데이먼이 나오는 우주 영화 알려줘	findMovie
맷데이먼이 나오는 SF 영화 알려줘	findMovie
마이클 케인이 나오는 영화 알려줘	findMovie
중력 방정식이 나오는 영화 알려줘	findMovie
Interstellar 영화 러닝 타임이 어떻게 돼?	getRunningTime
Interstellar 영화 등급이 어떻게 돼?	getGrade
인터스텔라 영화 공식사이트 알려줘	getOfficialSite
신비롭고 놀라운 영화가 뭐가 있을까	recommend
파도가 덮치는 영화 뭐였지	findMovie
인터스텔라 주인공 이름이 뭐야?	findPerson
인터스텔라 여주인공 이름이 뭐야?	findPerson
인터스텔라에 나오는 인물들 이름 좀 알려줘	getCast
소름끼치는 영화 알려줘	recommend
시각적으로 압도되는 영화가 있을까?	recommend
네이버 영화에 인터스텔라 검색해줘	search
다음 영화에 인터스텔라 검색해줘	search
구글에 인터스텔라 검색해줘	search
유튜브에 인터스텔라 검색해줘	search
유튜브에서 인터스텔라 예고편 좀	getTrailer
유튜브에서 인터스텔라 예고편 링크 알려줘	getTrailer
구글에 Interstellar 영화 검색해줘	search
상상력이 뛰어난 영화가 무엇이 있을까?	recommend
상상력이 뛰어난 영화 알려줘	recommend
상상력이 뛰어난 영화 추천 좀 해줘	recommend
외계인이 안나오는 우주 영화 알려줘	findMovie
외계인이 안나오는 우주 배경의 영화 알려줘	findMovie
imax에서 꼭 봐야할 영화가 있다면?	recommend
imax에서 꼭 봐야할 영화 알려줘	recommend
부녀가 나오는 우주 배경 영화 알려줘	findMovie
부녀가 나오는 영화 알려줘	findMovie
우주 나오는 경이로운 영화 추천해줘	recommend
다크나이트 만든 감독이 만든 영화 다 알려줘	findMovie
다크나이트 만든 감독이 만든 우주 배경의 영화가 뭐였지?	findMovie
인터스텔라 감독이 누구야?	findPerson
인터스텔라 누가 만들었어?	findPerson
인터스텔라 만든 감독은 누구야?	findPerson
우주가 나오는 인생영화 추천해줘	recommend
SF 휴먼 드라마 뭐가 있을까	findMovie
5년 안에 개봉한 영화 중에 우주 나오는 영화 다 알려줘	findMovie
5년 안에 개봉한 영화 중에 크리스토퍼 놀란이 만든 영화 알려줘	findMovie
우주가 나오는 볼만한 영화 알려줘	findMovie
영상미 좋은 영화	recommend
영상미 좋은 영화 뭐가 있을까?	recommend
영상미 좋은 영화 추천해줘	recommend
그래픽 좋은 영화 	recommend
그래픽 좋은 영화 뭐 있어?	recommend
그래픽 좋은 영화 알려줘	recommend
겨울왕국 같은 영화 알려줘	findSimilar
OST 좋은 영화 	recommend
OST 좋은 영화 뭐 있어?	recommend
노래가 좋은 영화 	recommend
노래가 좋은 영화 알려줘 	recommend
OST 음악 좋은 영화 알려줘	recommend
환상적인 OST 들을 수 있는 영화 알려줘	recommend
흥행한 OST 들을 수 있는 영화 	recommend
동심을 자극하는 영화	recommend
동심을 자극하는 영화 알려줘 	recommend
아름답고 감동적인 영화 	recommend
애들이 많이 보는 영화 	recommend
애들이 많이 보는 영화 뭐 있어?	recommend
애들이 좋아할만한 영화	recommend
애들이 좋아할만한 영화 뭐 있어?	recommend
딸 아이랑 보기 좋은 영화 알려줘	recommend
눈이라는 소재의 영화 뭐 있어?	findMovie
예쁜 캐릭터의 영화 뭐 있어?	recommend
여성 캐릭터가 예쁜 영화 	recommend
여성 캐릭터가 예쁜 영화 알려줘 	recommend
캐릭터가 매력적인 영화 	recommend
캐릭터가 매력적인 영화 알려줘 	recommend
스케일이 큰 영화 	recommend
스케일이 큰 영화 알려줘 	recommend
울컥하는 영화 알려줘	recommend
겨울에 보기 좋은 영화 알려줘 	recommend
마법 쓰는 영화 알려줘 	findMovie
스토리가 좋은 영화 	recommend
스토리가 좋은 영화 알려줘 	recommend
내용이 좋은 영화	recommend
내용이 좋은 영화 뭐 있어?	recommend
자매 이야기 나오는 영화 	findMovie
자매 이야기 나오는 영화 알려줘	findMovie
따뜻한 자매 이야기 나오는 영화 	recommend
따뜻한 자매 이야기 나오는 영화 뭐 있어?	recommend
따뜻한 자매 이야기 나오는 영화 알려줘 	recommend
여운이 남는 영화	recommend
여운이 남는 영화 알려줘 	recommend
마음이 따뜻해지는 영화	recommend
마음이 따뜻해지는 영화 뭐 있어	recommend
마음이 따뜻해지는 영화 알려줘	recommend
사랑을 주제로한 영화 	recommend
사랑을 주제로한 영화 알려줘 	recommend
라푼젤 같은 영화 	findSimilar
라푼젤 같은 영화 알려줘 	findSimilar
캐릭터가 귀여운 영화 	recommend
겨울왕국은 언제 개봉했어? 	getOpenDate
겨울왕국 개봉일 	getOpenDate
겨울왕국 개봉일이 언제야?	getOpenDate
겨울왕국은 어느 나라 영화야?	getMaker
겨울왕국 만든 제작사 알려줘	getMaker
겨울왕국 관람가 	getGrade
겨울왕국 관람가는 몇 세?	getGrade
디즈니 영화 추천해줘 	recommend
디즈니 영화 알려줘 	findMovie
볼만한 디즈니 영화 있나?	recommend
최근 개봉한 디즈니 영화	findMovie
겨울왕국 감독 누구야?	findPerson
겨울왕국 만든 감독 누구야	findPerson
겨울왕국 감독의 다른 작품은?	findMovie
겨울왕국 감독의 다른 작품 알려줘	findMovie
크리스 벅 감독의 다른 작품은?	findMovie
크리스 벅 감독이 찍은 다른 영화	findMovie
크리스 벅 감독이 찍은 다른 영화 알려줘 	findMovie
겨울왕국 엘사 목소리 누구?	findPerson
겨울왕국 안나 목소리 누구?	findPerson
겨울왕국 성우가 누구야?	findPerson
뮤지컬 영화 추천해줘	findMovie
뮤지컬 영화 뭐가 있을까?	findMovie
겨울왕국 개봉시간은?	getOpenDate
겨울왕국 영문제목은 뭐야	findMovie
크리스틴 벨이 출연한 영화가 뭐 있어?	findMovie
크리스틴 벨이 출연한 영화	findMovie
2017년 크리스틴 벨이 출연한 영화는 뭐야?	findMovie
3D로 볼수 있는 영화 	findMovie
3D로 볼만한 영화 뭐 있어?	recommend
3D로 볼수 있는 영화 추천해줘	findMovie
쓰리디로 볼 수 있는 영화	findMovie
쓰리디로 볼수 있는 영화 뭐 있어?	findMovie
쓰리디로 볼 수 있는 영화 추천해줘 	findMovie
볼만한 애니메이션 영화 알려줘 	recommend
볼만한 애니메이션 영화	recommend
볼만한 애니메이션 영화 뭐 있어?	recommend
볼만한 가족 영화 알려줘 	recommend
볼만한 가족 영화	recommend
볼만한 가족 영화 뭐 있어?	recommend
볼만한 미국 영화 뭐 있어?	recommend
재밌는 미국 영화 뭐 있어?	recommend
재밌는 판타지 영화 뭐 있어?	recommend
볼만한 판타지 영화 	recommend
재밌는 코미디 영화 알려줘 	recommend
재밌는 코미디 영화 뭐 있어?	findMovie
2013년에 볼만한 영화 	recommend
2013년 1월에 개봉한 영화 	findMovie
2013년에 100만 관객 넘은 영화 	findMovie
2013년에 100만 관객 넘은 영화 추천해줘	recommend
2013년에 100만 관객 넘은 영화 뭐 있어 	findMovie
어렸을 때 본 무서운 영화 알려줘	recommend
추억의 공포 영화 추천해줘	recommend
고딩 때 나왔던 무서운 영화가 뭐였지?	findMovie
살면서 본 제일 무서운 영화 뭐있어?	recommend
볼만한 영화 추천좀	recommend
볼만한 영화 있어	recommend
살면서 본 무서운 영화 추천 해줘	recommend
동양 공포 영화 부탁해	findMovie
동양 공포 영화 알려줘	findMovie
동양스타일의 공포 영화 뭐 있을까?	recommend
동양 스타일 공포영화 좀 추천 해줘	recommend
동양 식 공포영화 뭐있어?	findMovie
